time,logger,level,message,exception
2012-08-02 00:10:03.4999,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -     0 ms - PhotoCache - 404 - /docs/ImageModels/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
2012-08-02 00:10:14.3419,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-08-02 00:10:14.3419,Raven.Database.Server.HttpServer,Debug,Request #  17: GET     -     2 ms - PhotoCache - 404 - /docs/Raven/Replication/Destinations,
2012-08-02 00:10:14.4629,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/PhotoCache' was found,
2012-08-02 00:10:14.4629,Raven.Database.Server.HttpServer,Debug,Request #  18: GET     -     7 ms - <system>   - 200 - /docs/Raven/Databases/PhotoCache,
2012-08-02 00:10:21.6339,Raven.Database.Server.HttpServer,Debug,Request #  19: GET     -    17 ms - PhotoCache - 200 - /static/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
2012-08-02 00:10:48.6429,Raven.Database.Server.HttpServer,Debug,Request #  20: GET     -     0 ms - PhotoCache - 200 - /static/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
2012-08-02 00:14:15.4355,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-08-02 00:14:15.4355,Raven.Database.Server.HttpServer,Debug,Request #  21: GET     -     0 ms - PhotoCache - 404 - /docs/Raven/Replication/Destinations,
2012-08-02 00:14:15.5545,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/PhotoCache' was found,
2012-08-02 00:14:15.5545,Raven.Database.Server.HttpServer,Debug,Request #  22: GET     -     0 ms - <system>   - 200 - /docs/Raven/Databases/PhotoCache,
2012-08-02 00:14:22.8605,Raven.Database.Server.HttpServer,Debug,Request #  23: GET     -     0 ms - PhotoCache - 200 - /static/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
2012-08-02 00:14:35.3945,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'CacheModels/fefc9df7-47f1-4857-bc9c-ad427356b176' was found,
2012-08-02 00:14:35.3945,Raven.Database.Server.HttpServer,Debug,Request #  24: GET     -     0 ms - PhotoCache - 200 - /docs/CacheModels/fefc9df7-47f1-4857-bc9c-ad427356b176,
2012-08-02 00:14:44.1045,Raven.Database.Server.HttpServer,Debug,Request #  25: GET     -     0 ms - PhotoCache - 200 - /static/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
2012-08-02 00:14:49.7405,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'ImageModels/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a' was not found,
2012-08-02 00:14:49.7405,Raven.Database.Server.HttpServer,Debug,Request #  26: GET     -     0 ms - PhotoCache - 404 - /docs/ImageModels/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
2012-08-02 00:14:54.2955,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'CacheModels/fefc9df7-47f1-4857-bc9c-ad427356b176' was found,
2012-08-02 00:14:54.2955,Raven.Database.Server.HttpServer,Debug,Request #  27: GET     -    10 ms - PhotoCache - 304 - /docs/CacheModels/fefc9df7-47f1-4857-bc9c-ad427356b176,
2012-08-02 00:15:00.7035,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'ImageModels/6854270d-ab88-4430-8920-10c0733a9fcc' was found,
2012-08-02 00:15:00.7035,Raven.Database.Server.HttpServer,Debug,Request #  28: GET     -     0 ms - PhotoCache - 200 - /docs/ImageModels/6854270d-ab88-4430-8920-10c0733a9fcc,
2012-08-02 00:15:17.8505,Raven.Database.Server.HttpServer,Debug,Request #  29: GET     -     0 ms - PhotoCache - 200 - /static/c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
2012-08-02 00:15:24.7115,Raven.Database.Server.HttpServer,Debug,Request #  30: GET     -     0 ms - PhotoCache - 200 - /static/d75eae62-ef09-4ca6-b1a3-a98de6e6b1ec,
2012-08-02 00:15:52.8855,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Adding attachment e650dcb2-c32c-404d-8bf7-1a752f6af48d,
2012-08-02 00:15:52.8855,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 9 because: PUT ATTACHMENT e650dcb2-c32c-404d-8bf7-1a752f6af48d,
