time,logger,level,message,exception
2012-08-01 23:56:25.7719,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3185573888
  PollingInterval     = 00:02:00",
2012-08-01 23:56:25.7829,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-08-01 23:56:31.0109,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-08-01 23:56:31.4319,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-08-01 23:56:31.4319,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-08-01 23:57:34.6985,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/PhotoCache' was not found,
2012-08-01 23:57:34.8825,Raven.Database.Server.HttpServer,Warn,Error on request,"Raven.Database.Exceptions.BadRequestException: Could not find a database named: PhotoCache
   at Raven.Database.Server.HttpServer.SetupRequestToProperDatabase(IHttpContext ctx) in c:\Builds\RavenDB-Unstable-v1.2\Raven.Database\Server\HttpServer.cs:line 781
   at Raven.Database.Server.HttpServer.DispatchRequest(IHttpContext ctx) in c:\Builds\RavenDB-Unstable-v1.2\Raven.Database\Server\HttpServer.cs:line 634
   at Raven.Database.Server.HttpServer.HandleActualRequest(IHttpContext ctx) in c:\Builds\RavenDB-Unstable-v1.2\Raven.Database\Server\HttpServer.cs:line 435"
2012-08-01 23:57:34.9235,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -   241 ms -            - 400 - /databases/PhotoCache/docs/Raven/Replication/Destinations,
2012-08-01 23:57:35.0645,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/PhotoCache' was not found,
2012-08-01 23:57:35.0645,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -   139 ms - <system>   - 404 - /docs/Raven/Databases/PhotoCache,
2012-08-01 23:57:35.2995,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'Raven/Databases/PhotoCache', update: False, ",
2012-08-01 23:57:35.2995,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: PUT Raven/Databases/PhotoCache,
2012-08-01 23:57:35.3175,Raven.Database.DocumentDatabase,Debug,Put document Raven/Databases/PhotoCache with etag 00000000-0000-0100-0000-000000000001,
2012-08-01 23:57:35.3175,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2012-08-01 23:57:35.3175,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2012-08-01 23:57:35.3345,Raven.Database.Server.HttpServer,Debug,Request #   3: PUT     -   162 ms - <system>   - 201 - /docs/Raven/Databases/PhotoCache,
2012-08-01 23:57:42.3545,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/PhotoCache' was found,
2012-08-01 23:57:42.5575,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3185573888
  PollingInterval     = 00:02:00",
2012-08-01 23:57:42.5575,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-08-01 23:57:45.3195,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-08-01 23:57:45.3305,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-08-01 23:57:45.3305,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-08-01 23:57:45.3955,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Adding attachment c4b997b3-f8d3-4d1e-bc31-3270aa62b58a,
